iter	Passed	Remaining
0	14527	1438270
1	28308	1387127
2	43699	1412934
3	61877	1485058
4	81116	1541213
5	99421	1557599
6	119754	1591018
7	143251	1647388
8	162963	1647741
9	177667	1599008
10	194211	1571347
11	210406	1542977
12	226781	1517691
13	244233	1500291
14	259158	1468563
15	275132	1444447
16	307244	1500074
17	324698	1479184
18	342547	1460332
19	357219	1428877
20	373036	1403327
21	389311	1380285
22	406385	1360507
23	423697	1341707
24	441561	1324685
25	465665	1325356
26	486998	1316699
27	509076	1309055
28	527355	1291111
29	544016	1269372
30	559671	1245721
31	578770	1229886
32	600633	1219467
33	620419	1204343
34	639142	1186978
35	657604	1169074
36	680326	1158393
37	698693	1139973
38	713414	1115853
39	726318	1089478
40	741858	1067551
41	754838	1042395
42	768743	1019032
43	781692	994880
44	797475	974692
45	813439	954906
46	829878	935820
47	849675	920481
48	868917	904383
49	888710	888710
50	906830	871268
51	924485	853370
52	943158	836386
53	961119	818731
54	977411	799700
55	993555	780650
56	1010166	762055
57	1027627	744143
58	1046685	727357
59	1064385	709590
60	1080049	690523
61	1102419	675676
62	1123609	659897
63	1141432	642055
64	1158162	623626
65	1175159	605385
66	1192982	587588
67	1210088	569453
68	1230893	553009
69	1245708	533874
70	1260594	514890
71	1275722	496114
72	1292170	477926
73	1306846	459162
74	1321255	440418
75	1335929	421872
76	1350791	403483
77	1365867	385244
78	1381566	367251
79	1396872	349218
80	1412512	331330
81	1428383	313547
82	1446068	296182
83	1459217	277946
84	1472735	259894
85	1487236	242108
86	1500239	224173
87	1513296	206358
88	1526298	188643
89	1540249	171138
90	1555125	153803
91	1569297	136460
92	1585786	119360
93	1601598	102229
94	1618151	85165
95	1633679	68069
96	1649474	51014
97	1665146	33982
98	1681843	16988
99	1698382	0
