iter	Recall	Logloss
0	0.7233038348	0.6930617466
1	0.7067846608	0.6929524257
2	0.7150442478	0.6929502953
3	0.7474926254	0.6928603869
4	0.7634218289	0.6927436389
5	0.7675516224	0.6925664013
6	0.7722713864	0.6925642565
7	0.7710914454	0.6923711515
8	0.7622418879	0.692329827
9	0.7610619469	0.6922392938
10	0.7710914454	0.6921420003
11	0.7687315634	0.6919838237
12	0.7752212389	0.6919580147
13	0.7699115044	0.6918253634
14	0.7758112094	0.6917029514
15	0.7775811209	0.6916723956
16	0.7752212389	0.6914914249
17	0.7828908555	0.6913833731
18	0.785840708	0.691303197
19	0.783480826	0.6912031456
20	0.7840707965	0.6911747785
21	0.7840707965	0.6910119765
22	0.784660767	0.6908755989
23	0.782300885	0.6907295855
24	0.782300885	0.6905618976
25	0.783480826	0.6905225514
26	0.7828908555	0.6904830204
27	0.7805309735	0.6903286416
28	0.7799410029	0.6902844221
29	0.7787610619	0.6901961513
30	0.7775811209	0.690065633
31	0.7292035398	0.6899333339
32	0.7268436578	0.6898673487
33	0.7569321534	0.6897710627
34	0.7769911504	0.6897073083
35	0.7787610619	0.6896846071
36	0.7740412979	0.6895880249
37	0.7587020649	0.6895169818
38	0.7569321534	0.6894721663
39	0.7752212389	0.6893679743
40	0.7769911504	0.6893488254
41	0.7740412979	0.6892721801
42	0.7769911504	0.6892413342
43	0.7758112094	0.6891287257
44	0.7746312684	0.6890115777
45	0.7604719764	0.68899474
46	0.7569321534	0.6889316398
47	0.7156342183	0.6888836066
48	0.7144542773	0.6888197437
49	0.7179941003	0.6887314659
50	0.7150442478	0.688633984
51	0.7179941003	0.6885791445
52	0.7144542773	0.6885294466
53	0.7156342183	0.6885035967
54	0.7103244838	0.6884224012
55	0.7109144543	0.6883522653
56	0.7109144543	0.6882382683
57	0.7050147493	0.6881522908
58	0.7032448378	0.688126692
59	0.6991150442	0.6880136555
60	0.7002949853	0.6878812829
61	0.6932153392	0.6878487005
62	0.6997050147	0.6878343925
63	0.6920353982	0.6877771708
64	0.6920353982	0.6877283958
65	0.6926253687	0.6875863581
66	0.6884955752	0.6874829378
67	0.6961651917	0.6873839383
68	0.6973451327	0.687315233
69	0.6955752212	0.6872234615
70	0.6961651917	0.6871338019
71	0.6973451327	0.6870789602
72	0.6967551622	0.6869889879
73	0.6979351032	0.6868857104
74	0.7008849558	0.6867946636
75	0.7020648968	0.6867219241
76	0.7044247788	0.6866667454
77	0.7014749263	0.6866511027
78	0.7014749263	0.6866493913
79	0.7008849558	0.6866054228
80	0.7032448378	0.6865249096
81	0.7008849558	0.6864395219
82	0.7014749263	0.686439367
83	0.7044247788	0.6863509758
84	0.6979351032	0.6862336668
85	0.6949852507	0.6861734319
86	0.6926253687	0.6860370313
87	0.6932153392	0.6860368998
88	0.6943952802	0.6859410108
89	0.6961651917	0.6858504927
90	0.6961651917	0.6857645662
91	0.6967551622	0.6857402908
92	0.6979351032	0.685711988
93	0.6997050147	0.6856621805
94	0.6997050147	0.6855848268
95	0.7002949853	0.685576487
96	0.6997050147	0.685492018
97	0.7008849558	0.685460673
98	0.7020648968	0.6853634506
99	0.7067846608	0.685326958
100	0.7044247788	0.6852676965
101	0.7044247788	0.6852676814
102	0.7097345133	0.6852241514
103	0.7126843658	0.6851341638
104	0.7132743363	0.6850878417
105	0.7138643068	0.6850876802
106	0.7138643068	0.6850876281
107	0.7197640118	0.684953117
108	0.7185840708	0.6849440834
109	0.7162241888	0.6848620945
110	0.7115044248	0.6847969936
111	0.7132743363	0.6847832737
112	0.7162241888	0.6847829074
113	0.7150442478	0.684758812
114	0.7115044248	0.6847217831
115	0.7097345133	0.6846579305
116	0.7103244838	0.6845939334
117	0.7115044248	0.6845319254
118	0.7103244838	0.6844919347
119	0.7067846608	0.6844283497
120	0.7115044248	0.684285226
121	0.7120943953	0.6841792822
122	0.7085545723	0.684086163
123	0.7056047198	0.6840323424
124	0.7050147493	0.6840002007
125	0.7014749263	0.6839336601
126	0.7050147493	0.6839081852
127	0.7044247788	0.6838772649
128	0.7050147493	0.683842792
129	0.7067846608	0.6838030631
130	0.7103244838	0.6837324292
131	0.7109144543	0.6836716612
132	0.7103244838	0.6836580742
133	0.7091445428	0.6835990227
134	0.7091445428	0.6835746384
135	0.7091445428	0.6835243678
136	0.7103244838	0.6835136113
137	0.7091445428	0.6834576518
138	0.7103244838	0.6833967912
139	0.7073746313	0.6833268102
140	0.7115044248	0.6832889456
141	0.7138643068	0.6832406493
142	0.7156342183	0.6831971333
143	0.7156342183	0.683120678
144	0.7162241888	0.6830979716
145	0.7162241888	0.6830596908
146	0.7156342183	0.6830471587
147	0.7162241888	0.6830021788
148	0.7162241888	0.6829234225
149	0.7162241888	0.6829234205
150	0.7174041298	0.6828425215
151	0.7203539823	0.6828089457
152	0.7209439528	0.6827772222
153	0.7197640118	0.6827440545
154	0.7144542773	0.6826331108
155	0.7174041298	0.682576092
156	0.7174041298	0.682548276
157	0.7174041298	0.6825093467
158	0.7185840708	0.6823441795
159	0.7138643068	0.6822518526
160	0.7132743363	0.6821724318
161	0.7091445428	0.6821198303
162	0.7044247788	0.6820627699
163	0.7044247788	0.6820627654
164	0.7061946903	0.6819306442
165	0.7073746313	0.6818752868
166	0.7091445428	0.6818564477
167	0.7044247788	0.6817777319
168	0.7061946903	0.6817366227
169	0.7067846608	0.6817366136
170	0.7085545723	0.6817255275
171	0.7085545723	0.6817005911
172	0.7067846608	0.6816358392
173	0.7073746313	0.68158724
174	0.7073746313	0.6815665524
175	0.7085545723	0.6814852351
176	0.7085545723	0.6814457889
177	0.7079646018	0.6813834295
178	0.7079646018	0.6813398665
179	0.7097345133	0.6812459392
180	0.7103244838	0.6812169031
181	0.7115044248	0.6811827816
182	0.7109144543	0.681105828
183	0.7085545723	0.6810193036
184	0.7085545723	0.6810184881
185	0.7079646018	0.681007707
186	0.7067846608	0.6809631281
187	0.7103244838	0.6808746382
188	0.7103244838	0.6808746381
189	0.7097345133	0.6808149345
190	0.7085545723	0.680751683
191	0.7138643068	0.6807005556
192	0.7144542773	0.6806119782
193	0.7132743363	0.6805103044
194	0.7150442478	0.68048875
195	0.7150442478	0.6804695021
196	0.7156342183	0.6804325352
197	0.7120943953	0.6804089491
198	0.7126843658	0.6803605226
199	0.7115044248	0.6802663449
200	0.7120943953	0.6802193065
201	0.7120943953	0.6801780663
202	0.7120943953	0.680141639
203	0.7138643068	0.6800552633
204	0.7168141593	0.6800168417
205	0.7168141593	0.679985651
206	0.7179941003	0.6799856489
207	0.7179941003	0.6799450734
208	0.7179941003	0.6799289135
209	0.7168141593	0.6798667775
210	0.7138643068	0.6798147853
211	0.7126843658	0.6797715455
212	0.7132743363	0.6797517164
213	0.7138643068	0.6797142708
214	0.7162241888	0.6796619611
215	0.7168141593	0.6795979384
216	0.7191740413	0.6795600611
217	0.7191740413	0.6795600592
218	0.7174041298	0.6795361376
219	0.7203539823	0.6794948635
220	0.7179941003	0.6794677123
221	0.7179941003	0.6794677109
222	0.7185840708	0.6794273301
223	0.7174041298	0.6794186562
224	0.7174041298	0.6794186552
225	0.7132743363	0.6793618663
226	0.7126843658	0.6793335181
227	0.7126843658	0.6793335173
228	0.7162241888	0.6792228333
229	0.7156342183	0.6791801311
230	0.7156342183	0.6791551674
231	0.7162241888	0.6791414824
232	0.7156342183	0.6791298983
233	0.7156342183	0.6791298972
234	0.7156342183	0.6791056107
235	0.7150442478	0.6790706581
236	0.7150442478	0.6790321295
237	0.7168141593	0.6789840084
238	0.7168141593	0.6789075879
239	0.7168141593	0.678862162
240	0.7209439528	0.6788355278
241	0.7197640118	0.6787676739
242	0.7197640118	0.6787676725
243	0.7203539823	0.6787019378
244	0.7203539823	0.6786790923
245	0.7215339233	0.6786426601
246	0.7215339233	0.6786170666
247	0.7215339233	0.6785964523
248	0.7209439528	0.6785681862
249	0.7197640118	0.6785225478
250	0.7191740413	0.6784496311
251	0.7209439528	0.6784124631
252	0.7209439528	0.6784115432
253	0.7197640118	0.6783674023
254	0.7209439528	0.678327665
255	0.7221238938	0.6782872521
256	0.7221238938	0.6782872519
257	0.7221238938	0.6782872518
258	0.7227138643	0.6782361854
259	0.7227138643	0.6781810255
260	0.7227138643	0.6781474443
261	0.7215339233	0.678077311
262	0.7215339233	0.678077023
263	0.7221238938	0.6780650262
264	0.7227138643	0.6780235156
265	0.7227138643	0.6779710293
266	0.7227138643	0.677971029
267	0.7233038348	0.677942752
268	0.7233038348	0.6779302451
269	0.7227138643	0.6778693232
270	0.7233038348	0.6778366252
271	0.7233038348	0.6778360135
272	0.7238938053	0.6778216242
273	0.7244837758	0.6777862899
274	0.7280235988	0.6777425925
275	0.7286135693	0.6777106842
276	0.7286135693	0.6777088327
277	0.7262536873	0.6776447319
278	0.7268436578	0.6776173853
279	0.7268436578	0.677604746
280	0.7244837758	0.6775708489
281	0.7227138643	0.6775111494
282	0.7238938053	0.6774569865
283	0.7238938053	0.6774569864
284	0.7238938053	0.6774569864
285	0.7262536873	0.6774321831
286	0.7268436578	0.6773543365
287	0.7280235988	0.6773158788
288	0.7280235988	0.6773060524
289	0.7280235988	0.6772703844
290	0.7280235988	0.6772545216
291	0.7280235988	0.677172019
292	0.7286135693	0.6771401533
293	0.7286135693	0.6770873375
294	0.7297935103	0.6770300514
295	0.7303834808	0.6770148047
296	0.7297935103	0.6769461276
297	0.7303834808	0.6769336153
298	0.7315634218	0.6768849411
299	0.7315634218	0.6768829064
300	0.7315634218	0.6768549883
301	0.7303834808	0.6768190461
302	0.7303834808	0.6768190461
303	0.7303834808	0.6768190461
304	0.7315634218	0.6767339276
305	0.7315634218	0.6766318843
306	0.7315634218	0.676625901
307	0.7321533923	0.6765907968
308	0.7321533923	0.676543036
309	0.7315634218	0.6764996455
310	0.7315634218	0.6764988174
311	0.7303834808	0.6763833094
312	0.7297935103	0.6763223013
313	0.7309734513	0.6762791143
314	0.7309734513	0.6762308701
315	0.7303834808	0.6761716081
316	0.7297935103	0.6761307086
317	0.7297935103	0.6760753056
318	0.7303834808	0.6760304431
319	0.7303834808	0.6759910812
320	0.7292035398	0.6759488419
321	0.7297935103	0.6759127638
322	0.7303834808	0.6758751922
323	0.7297935103	0.6758024416
324	0.7268436578	0.6757217291
325	0.7268436578	0.6757199827
326	0.7280235988	0.6756743018
327	0.7286135693	0.6756416142
328	0.7286135693	0.6755961816
329	0.7286135693	0.6755629107
330	0.7286135693	0.6755318406
331	0.7286135693	0.6755004504
332	0.7286135693	0.6754993718
333	0.7297935103	0.6753789938
334	0.7297935103	0.675354895
335	0.7303834808	0.6753443956
336	0.7292035398	0.6753121515
337	0.7309734513	0.6752737048
338	0.7297935103	0.6751472161
339	0.7297935103	0.6751045869
340	0.7297935103	0.6750707624
341	0.7297935103	0.6750706209
342	0.7297935103	0.6750073766
343	0.7297935103	0.6750040811
344	0.7297935103	0.6749969571
345	0.7321533923	0.6748843387
346	0.7321533923	0.6748843387
347	0.7321533923	0.6748593621
348	0.7315634218	0.6748414775
349	0.7315634218	0.6747454007
350	0.7315634218	0.6747294816
351	0.7309734513	0.6747001674
352	0.7309734513	0.6746645283
353	0.7309734513	0.6746488484
354	0.7309734513	0.6746174276
355	0.7309734513	0.6745859063
356	0.7309734513	0.6745286387
357	0.7315634218	0.674519826
358	0.7286135693	0.674474979
359	0.7286135693	0.6744588558
360	0.7286135693	0.674455831
361	0.7286135693	0.674455831
362	0.7292035398	0.6744283337
363	0.7297935103	0.6743885484
364	0.7297935103	0.6743885467
365	0.7292035398	0.674375532
366	0.7292035398	0.6743587248
367	0.7286135693	0.6743125422
368	0.7292035398	0.6742812921
