iter	Passed	Remaining
0	2	2052
1	4	1846
2	6	1607
3	8	1634
4	9	1574
5	11	1524
6	13	1480
7	14	1457
8	15	1404
9	17	1389
10	20	1447
11	21	1415
12	24	1461
13	25	1458
14	27	1447
15	29	1429
16	31	1438
17	32	1426
18	35	1439
19	36	1431
20	37	1400
21	39	1394
22	41	1398
23	43	1411
24	45	1402
25	46	1398
26	48	1381
27	49	1372
28	51	1372
29	54	1387
30	55	1381
31	57	1372
32	58	1367
33	60	1362
34	62	1356
35	63	1344
36	64	1339
37	66	1335
38	69	1362
39	71	1356
40	73	1352
41	75	1356
42	77	1357
43	78	1351
44	80	1353
45	82	1349
46	84	1347
47	85	1341
48	88	1354
49	90	1358
50	92	1354
51	93	1351
52	95	1349
53	97	1344
54	98	1337
55	100	1337
56	102	1333
57	104	1337
58	106	1333
59	107	1328
60	109	1323
61	110	1314
62	111	1309
63	113	1304
64	115	1302
65	116	1299
66	118	1295
67	120	1294
68	121	1291
69	123	1289
70	125	1285
71	127	1290
72	129	1290
73	131	1285
74	132	1282
75	135	1286
76	137	1288
77	138	1283
78	139	1275
79	141	1269
80	142	1268
81	144	1267
82	145	1258
83	147	1257
84	148	1252
85	150	1250
86	152	1251
87	154	1250
88	156	1248
89	157	1245
90	159	1243
91	161	1241
92	162	1236
93	164	1234
94	165	1230
95	167	1227
96	169	1229
97	171	1226
98	173	1227
99	174	1223
100	177	1226
101	178	1219
102	180	1219
103	182	1219
104	183	1216
105	184	1211
106	186	1205
107	188	1205
108	189	1198
109	190	1196
110	192	1194
111	194	1193
112	195	1188
113	197	1187
114	199	1189
115	201	1187
116	203	1185
117	204	1184
118	206	1182
119	208	1179
120	209	1178
121	211	1175
122	213	1174
123	215	1172
124	216	1170
125	218	1170
126	220	1168
127	222	1168
128	224	1165
129	225	1163
130	228	1164
131	229	1162
132	231	1159
133	233	1162
134	235	1159
135	237	1157
136	238	1153
137	239	1151
138	241	1149
139	243	1147
140	245	1145
141	246	1143
142	248	1141
143	250	1138
144	252	1140
145	254	1138
146	255	1136
147	257	1136
148	259	1134
149	260	1128
150	262	1126
151	263	1124
152	266	1124
153	267	1123
154	269	1122
155	271	1120
156	272	1117
157	274	1116
158	276	1115
159	278	1113
160	279	1111
161	281	1110
162	283	1107
163	284	1101
164	285	1099
165	287	1099
166	289	1096
167	290	1093
168	292	1093
169	293	1088
170	295	1085
171	296	1082
172	298	1080
173	300	1081
174	302	1080
175	304	1078
176	305	1076
177	307	1075
178	309	1074
179	311	1072
180	313	1072
181	315	1070
182	317	1068
183	318	1066
184	319	1062
185	320	1058
186	322	1056
187	323	1054
188	324	1049
189	326	1048
190	327	1045
191	329	1043
192	331	1041
193	333	1040
194	334	1038
195	336	1036
196	337	1034
197	340	1034
198	341	1032
199	343	1029
200	344	1028
201	346	1026
202	349	1026
203	351	1026
204	352	1024
205	354	1022
206	355	1018
207	357	1017
208	359	1016
209	361	1015
210	363	1013
211	364	1011
212	367	1011
213	369	1011
214	370	1009
215	372	1007
216	374	1005
217	375	1001
218	376	999
219	378	997
220	380	995
221	380	991
222	382	990
223	384	987
224	384	983
225	386	981
226	388	980
227	389	976
228	390	974
229	392	972
230	394	972
231	396	971
232	398	969
233	399	965
234	400	963
235	402	961
236	403	959
237	405	957
238	407	957
239	409	955
240	411	954
241	413	953
242	414	949
243	416	948
244	418	947
245	419	945
246	422	946
247	424	944
248	425	942
249	427	940
250	429	939
251	431	937
252	432	934
253	433	932
254	435	930
255	437	928
256	437	925
257	438	921
258	440	919
259	441	917
260	443	915
261	444	913
262	446	910
263	447	908
264	449	907
265	450	905
266	451	901
267	453	899
268	455	899
269	457	898
270	459	897
271	461	894
272	463	894
273	464	892
274	466	891
275	469	891
276	470	888
277	472	886
278	473	884
279	475	882
280	477	881
281	478	879
282	480	877
283	481	874
284	482	871
285	483	869
286	485	868
287	487	866
288	489	864
289	490	863
290	492	861
291	494	859
292	496	858
293	498	857
294	499	855
295	501	853
296	503	852
297	505	850
298	506	849
299	508	846
300	509	844
301	511	843
302	512	839
303	512	836
304	514	834
305	516	833
306	517	830
307	519	829
308	520	827
309	522	825
310	523	823
311	525	822
312	527	820
313	529	818
314	531	817
315	532	816
316	534	814
317	536	812
318	537	811
319	539	809
320	541	808
321	543	807
322	545	805
323	547	804
324	549	802
325	550	800
326	552	798
327	554	797
328	555	795
329	557	793
330	559	792
331	560	790
332	561	788
333	563	786
334	565	784
335	566	782
336	568	781
337	570	779
338	573	779
339	574	777
340	576	775
341	577	773
342	579	771
343	580	769
344	582	767
345	583	765
346	584	763
347	586	761
348	587	759
349	590	759
350	592	757
351	593	755
352	595	753
353	596	752
354	599	750
355	600	749
356	602	747
357	604	745
358	606	744
359	607	742
360	609	740
361	610	738
362	611	736
363	613	734
364	614	732
365	616	730
366	617	729
367	619	727
368	621	725
369	622	723
370	624	722
371	626	721
372	628	719
373	629	717
374	631	715
375	633	713
376	634	712
377	636	710
378	637	708
379	639	707
380	640	704
381	642	702
382	643	701
383	645	699
384	647	697
385	648	696
386	649	693
387	651	692
388	654	691
389	655	689
390	657	687
391	658	685
392	660	684
393	662	682
394	663	680
395	665	679
396	667	677
397	669	675
398	670	673
399	672	672
400	673	670
401	675	668
402	676	666
403	678	665
404	680	663
405	681	661
406	683	660
407	685	658
408	686	656
409	688	654
410	690	653
411	691	651
412	693	649
413	695	648
414	696	646
415	698	644
416	700	643
417	701	641
418	702	639
419	704	637
420	705	635
421	707	633
422	709	632
423	710	630
424	712	628
425	714	627
426	715	625
427	716	623
428	718	621
429	720	619
430	721	618
431	723	616
432	725	614
433	725	612
434	727	610
435	729	608
436	731	607
437	732	605
438	734	603
439	735	601
440	736	599
441	738	598
442	740	596
443	740	594
444	742	592
445	744	591
446	746	589
447	748	587
448	749	585
449	750	583
450	752	582
451	754	580
452	755	578
453	756	576
454	758	575
455	760	573
456	762	571
457	763	570
458	765	568
459	767	567
460	769	565
461	770	563
462	772	562
463	774	560
464	776	559
465	777	557
466	779	555
467	780	553
468	781	551
469	783	550
470	785	548
471	787	546
472	790	546
473	791	544
474	793	542
475	795	541
476	796	539
477	798	537
478	800	536
479	802	534
480	803	532
481	805	531
482	807	530
483	809	528
484	811	526
485	812	525
486	814	523
487	816	521
488	818	520
489	819	518
490	821	516
491	824	516
492	826	514
493	828	513
494	830	511
495	832	509
496	833	508
497	835	506
498	837	505
499	839	503
500	840	501
501	842	500
502	844	498
503	846	496
504	847	495
505	849	493
506	850	491
507	852	489
508	853	488
509	855	486
510	857	484
511	858	483
512	860	481
513	862	480
514	864	478
515	866	477
516	868	475
517	870	473
518	871	472
519	873	470
520	875	468
521	877	467
522	879	465
523	881	464
524	882	462
525	885	461
526	886	459
527	888	457
528	890	456
529	892	454
530	895	453
531	896	451
532	898	449
533	899	447
534	900	446
535	902	444
536	904	442
537	905	441
538	907	439
539	909	437
540	910	436
541	912	434
542	914	432
543	915	430
544	918	429
545	920	428
546	921	426
547	923	424
548	925	422
549	926	421
550	928	419
551	930	417
552	932	416
553	933	414
554	935	412
555	937	411
556	939	409
557	940	408
558	942	406
559	945	405
560	947	403
561	949	402
562	950	400
563	952	398
564	954	396
565	956	395
566	957	393
567	959	391
568	960	390
569	962	388
570	964	386
571	965	385
572	967	383
573	969	381
574	971	379
575	972	378
576	974	376
577	976	375
578	978	373
579	979	371
580	981	369
581	983	368
582	985	366
583	986	365
584	988	363
585	990	361
586	992	360
587	994	358
588	996	356
589	998	355
590	1000	353
591	1001	351
592	1003	350
593	1005	348
594	1007	347
595	1009	345
596	1010	343
597	1012	342
598	1014	340
599	1016	338
600	1018	337
601	1019	335
602	1021	333
603	1023	332
604	1025	330
605	1026	328
606	1028	326
607	1030	325
608	1031	323
609	1033	321
610	1035	320
611	1037	318
612	1039	317
613	1041	315
614	1042	313
615	1044	311
616	1046	310
617	1047	308
618	1049	306
619	1051	305
620	1054	303
621	1055	302
622	1057	300
623	1059	298
624	1060	297
625	1063	295
626	1064	293
627	1066	292
628	1068	290
629	1069	288
630	1072	287
631	1074	285
632	1075	283
633	1078	282
634	1080	280
635	1082	279
636	1084	277
637	1085	275
638	1087	274
639	1089	272
640	1091	270
641	1093	269
642	1095	267
643	1097	265
644	1098	264
645	1100	262
646	1102	260
647	1104	259
648	1106	257
649	1107	255
650	1109	253
651	1111	252
652	1112	250
653	1114	248
654	1116	247
655	1119	245
656	1120	243
657	1122	242
658	1123	240
659	1125	238
660	1127	237
661	1128	235
662	1130	233
663	1132	231
664	1134	230
665	1135	228
666	1137	226
667	1139	225
668	1140	223
669	1142	221
670	1144	220
671	1146	218
672	1148	216
673	1149	214
674	1151	213
675	1153	211
676	1155	209
677	1156	208
678	1158	206
679	1160	204
680	1161	202
681	1163	201
682	1164	199
683	1166	197
684	1168	196
685	1169	194
686	1171	192
687	1172	190
688	1174	189
689	1176	187
690	1177	185
691	1179	184
692	1181	182
693	1183	180
694	1185	179
695	1186	177
696	1189	175
697	1190	174
698	1192	172
699	1194	170
700	1196	168
701	1198	167
702	1199	165
703	1201	163
704	1202	162
705	1204	160
706	1206	158
707	1207	156
708	1209	155
709	1211	153
710	1212	151
711	1214	150
712	1216	148
713	1218	146
714	1219	145
715	1221	143
716	1223	141
717	1224	139
718	1226	138
719	1228	136
720	1229	134
721	1231	133
722	1233	131
723	1235	129
724	1236	127
725	1238	126
726	1239	124
727	1242	122
728	1243	121
729	1245	119
730	1247	117
731	1248	115
732	1250	114
733	1251	112
734	1253	110
735	1255	109
736	1257	107
737	1258	105
738	1260	104
739	1262	102
740	1263	100
741	1265	98
742	1266	97
743	1268	95
744	1270	93
745	1271	92
746	1274	90
747	1275	88
748	1277	86
749	1279	85
750	1280	83
751	1282	81
752	1284	80
753	1285	78
754	1287	76
755	1289	75
756	1292	73
757	1293	71
758	1295	69
759	1297	68
760	1299	66
761	1301	64
762	1303	63
763	1305	61
764	1307	59
765	1308	58
766	1310	56
767	1312	54
768	1314	52
769	1315	51
770	1317	49
771	1319	47
772	1321	46
773	1323	44
774	1325	42
775	1326	41
776	1328	39
777	1329	37
778	1331	35
779	1333	34
780	1334	32
781	1336	30
782	1338	29
783	1339	27
784	1341	25
785	1343	23
786	1345	22
787	1347	20
788	1349	18
789	1351	17
790	1352	15
791	1354	13
792	1356	11
793	1357	10
794	1359	8
795	1361	6
796	1363	5
797	1365	3
798	1366	1
799	1368	0
